id;title;status;requested_amount;collected_amount;currency;image_url;project_start_date;project_end_date;number_of_backers;description;long_description;project_video_url;risk;expected_profit;minimum_investment
1;while;SUBMITTED;24065.25;20688.36;know disinherit;wrongly mostly;2024-10-26T23:10:28;2024-10-26T18:32:33;23730;excluding sarcastic yet;true whenever;wolf because;11967;12645.04;13788.96
2;cannibalise deduction;APPROVED;389.73;851.86;wasteful not;ack darling with;2024-10-27T00:30:25;2024-10-26T21:08:22;9735;ah yuck spark;ew hold inasmuch;energetically archaeology deeply;20559;12143.07;2332.92
3;because psst;ISSUED;20984.8;13814.45;mosh packaging;er;2024-10-27T02:18:43;2024-10-27T13:49:46;8802;whenever ah;yet circa;actually unless;27597;3104.09;29250.23
4;on even;APPROVED;5795.35;21568.11;fondly;brisk past eek;2024-10-27T06:59:55;2024-10-27T03:37:47;25348;reproachfully unlike coal;woot;govern;31419;19566.42;14700.48
5;since who;ISSUED;14496.56;14733.76;except carelessly;masculinize notwithstanding amongst;2024-10-27T05:36:46;2024-10-26T20:30:05;10411;besides over lest;upwardly practical;aha pfft;7601;29688.7;22399.19
6;uh-huh;REJECTED;32468.62;24078.45;deeply object kindheartedly;since heroine;2024-10-27T05:49:08;2024-10-26T20:51:40;20021;politely although;shell whereas but;remorseful under when;25459;12469.68;9413.79
7;petticoat;ISSUED;2242.46;2178.62;upwardly oh;incidentally courageous;2024-10-27T12:10:14;2024-10-26T19:16:38;19164;times coop behind;bah fluff boohoo;castanet hastily;4064;18134.32;6841.91
8;questioningly;REJECTED;28627.29;29492.93;knit ew save;with;2024-10-27T08:43:02;2024-10-26T17:15:37;18813;cosset;before fast;along;8836;17686.75;32124.99
9;fantastic;SUBMITTED;10474.58;20729.57;why daddy;honestly that bravely;2024-10-27T05:24:37;2024-10-27T06:25:56;20691;dish ew lonely;before ha empty;thoroughly eek whoa;20614;25900.6;20530.09
10;descent;APPROVED;3458.74;922.01;repeatedly damp geez;wrongly deck;2024-10-27T13:46:04;2024-10-27T08:54:33;31271;though;hm;ack until cardboard;13489;16456.31;31909.59
