id;title;requested_amount;collected_amount;currency;image_url;risk;project_start_date;project_end_date;number_of_backers;summary;description;expected_profit;minimum_investment;project_video_url
1;nor woot;24472.85;252.14;right majority;suspension;8400;2024-10-04T09:01:46;2024-10-03T22:55:06;24427;defendant whirlwind;../fake-data/blob/hipster.txt;7008.59;21171.15;vengeful manipulate
2;likewise;12212.03;32460.14;reborn;mmm;8845;2024-10-04T00:42:55;2024-10-03T16:40:38;21037;till arid;../fake-data/blob/hipster.txt;11104.3;15956.17;or indeed
3;qua;17328.28;1705.81;against;next upon boulevard;15856;2024-10-04T13:01:45;2024-10-04T14:33:49;12456;casement;../fake-data/blob/hipster.txt;21322.34;20147.06;fill quietly onto
4;supposing consequently versus;10491.48;6166.58;sushi;whoever;11273;2024-10-04T07:59:13;2024-10-04T00:31:55;4926;possession pliers;../fake-data/blob/hipster.txt;2034.31;22003.51;blah overconfidently design
5;swiftly mediocre;19686.05;6653.82;matter except via;essence fluff;29698;2024-10-03T21:24:27;2024-10-03T23:33:28;29261;uh-huh indeed consequently;../fake-data/blob/hipster.txt;29722.73;13199.05;generously
6;gnash brr publicize;15601.35;12472.64;roughly jubilantly;why mortise;13792;2024-10-04T13:01:05;2024-10-04T00:20:35;9584;through frank huzzah;../fake-data/blob/hipster.txt;3055.96;17115.73;woot
7;justly;6375.75;25244.82;keel regarding;uh-huh unless;3718;2024-10-04T01:17:46;2024-10-03T19:00:02;26970;ordinary programme heartbeat;../fake-data/blob/hipster.txt;23525.94;32230.54;pleasure yippee suspiciously
8;these;6807.9;9033.39;aha apricot;where;30389;2024-10-04T08:58:14;2024-10-03T23:16:05;3323;almost;../fake-data/blob/hipster.txt;30793.69;9729.35;beneath nor
9;well-made responsible;22018.98;19313.59;consequently bah;ouch;2126;2024-10-03T17:03:40;2024-10-04T13:00:54;1897;ravage an or;../fake-data/blob/hipster.txt;23378.7;14783.19;valiantly jam-packed
10;yippee mid;31443.83;26082.61;superb punctual dazzling;before direct tool;27869;2024-10-04T02:19:45;2024-10-03T21:01:09;17070;furthermore;../fake-data/blob/hipster.txt;17652.04;13567.59;outset legging
