id;name;image_url;description
1;publicity sans;justly;yet about
2;until shady excluding;yippee dutiful righteously;awareness or pillory
3;westernize astride;generally onset nor;whether well-off wallaby
4;warmly critical;anenst simple gnaw;consequently phooey
5;broadly retrospectivity;past sensitize oof;destock meanwhile
6;while;numb;poor regarding
7;ew properly cool;lovable pish politely;prime graffiti until
8;import queasy;goodwill;explode biodegradable
9;yippee concentration;gape sans;truly
10;how siege;gallivant outrageous dismal;fearless notwithstanding while
